date,vaccinated_daily,vaccinated_total, j_and_j, pfizer
2021-02-18,2260,2260,0,0
2021-02-19,4264,6524,0,0
2021-02-20,3890,10414,0,0
2021-02-21,4974,15388,0,0
2021-02-22,7671,23059,0,0
2021-02-23,9256,32315,0,0
2021-02-24,9494,41809,0,0
2021-02-25,10838,52647,0,0
2021-02-26,11001,63648,0,0
2021-02-27,3655,67303,0,0
2021-02-28,3224,70527,0,0
2021-03-01,2520,73047,0,0
2021-03-02,2990,76037,0,0
2021-03-03,7533,83570,0,0
2021-03-04,8459,92029,0,0
2021-03-05,8151,100180,0,0
2021-03-06,1393,101573,0,0
2021-03-07,268,101841,0,0
2021-03-08,5213,107054,0,0
2021-03-09,11193,118247,0,0
2021-03-10,10640,128887,0,0
2021-03-11,9127,138014,0,0
2021-03-12,7201,145215,0,0
2021-03-13,329,145544,0,0
2021-03-14,0,145544,0,0
2021-03-15,2209,147753,0,0
2021-03-16,9533,157286,0,0
2021-03-17,11127,168413,0,0
2021-03-18,8862,177275,0,0
2021-03-19,5708,182983,0,0
2021-03-20,0,182983,0,0
2021-03-21,0,182983,0,0
2021-03-22,0,182983,0,0
2021-03-23,11274,194257,0,0
2021-03-24,13551,207808,0,0
2021-03-25,12321,220129,0,0
2021-03-26,10873,231002,0,0
2021-03-27,603,231605,0,0
2021-03-28,0,231605,0,0
2021-03-29,8060,239665,0,0
2021-03-30,12042,251707,0,0
2021-03-31,12171,263878,0,0
2021-04-01,5224,269102,0,0
2021-04-02,0,269102,0,0
2021-04-03,0,269102,0,0
2021-04-04,0,269102,0,0
2021-04-05,0,269102,0,0
2021-04-06,3336,272438,0,0
2021-04-07,6471,278909,0,0
2021-04-08,4720,283629,0,0
2021-04-09,4739,288368,0,0
2021-04-10,38,288406,0,0
2021-04-11,0,288406,0,0
2021-04-12,1381,289787,0,0
2021-04-13,2836,292623,0,0
2021-04-14,0,292623,0,0
2021-04-15,0,292623,0,0
2021-04-16,0,292623,0,0
2021-04-17,0,292623,0,0
2021-04-18,0,292623,0,0
2021-04-19,0,292623,0,0
2021-04-20,0,292623,0,0
2021-04-21,0,292623,0,0
2021-04-22,0,292623,0,0
2021-04-23,0,292623,0,0
2021-04-24,0,292623,0,0
2021-04-25,0,292623,0,0
2021-04-26,0,292623,0,0
2021-04-27,0,292623,0,0
2021-04-28,5530,298153,0,0
2021-04-29,9438,307591,0,0
2021-04-30,10065,317656,0,0
2021-05-01,1014,318670,0,0
2021-05-02,0,318670,0,0
2021-05-03,10428,329098,0,0
2021-05-04,10557,339655,0,0
2021-05-05,13526,353181,0,0
2021-05-06,12920,366101,0,0
2021-05-07,15070,381171,0,0
2021-05-08,1309,382480,0,0
2021-05-09,0,382480,0,0
2021-05-10,12750,395230,0,0
2021-05-11,19142,414372,0,0
2021-05-12,16358,430730,0,0
2021-05-13,24439,455169,0,0
2021-05-14,19149,474318,0,0
2021-05-15,5450,479768,0,0
2021-05-16,0,479768,0,0
2021-05-17,0,479768,0,0
2021-05-18,40268,520036,0,40268
2021-05-19,38134,558170,0,78402
2021-05-20,39236,597406,0,117638
2021-05-21,44079,641485,0,161717
2021-05-22,5601,647983,480665,167318
2021-05-23,4542,651628,479768,171860
2021-05-24,49276,700904,479768,221136
2021-05-25,60999,761903,479768,282135
2021-05-26,66301,828204,479768,348436
2021-05-27,69751,897955,479768,418187
2021-05-28,65921,963876,479768,484108
2021-05-29,4443,968319,479768,488551
2021-05-30,2129,970448,479768,490680
2021-05-31,74656,1045104,479768,565336
2021-06-01,72465,1117569,479768,637801
2021-06-02,75783,1193352,479768,713584
2021-06-03,73541,1266893,479768,787125
2021-06-04,69654,1336547,479768,856779
2021-06-05,6886,1343433,479768,863665
2021-06-06,6812,1350245,479768,870477
2021-06-07,83485,1433730,479768,953962
2021-06-08,91541,1525271,479768,1045503
2021-06-09,93740,1619011,479768,1139243
2021-06-10,71015,1690026,479768,1210258
2021-06-11,77389,1767415,479768,1287647
2021-06-12,6002,1773417,479768,1293649
2021-06-13,3871,1777288,479768,1297520
2021-06-14,94699,1871987,479768,1392219
2021-06-15,93825,1965812,479768,1486044
2021-06-16,8287,1974099,479768,1494331
2021-06-17,95247,2069346,479768,1589578
2021-06-18,67725,2137071,479768,1657303
2021-06-19,4553,2141624,479768,1661856
2021-06-20,2580,2144204,479768,1664436
2021-06-21,85038,2229242,479768,1749474
