WEEK (starting on);;ESTIMATED NATURAL DEATHS OF PERSONS 1+ YEARS ;;;;;;;
;;BUFFALO CITY;CAPE TOWN;EKHURULENI;ETHEKWENI;JOHANNESBURG;MANGAUNG;NELSON MANDELA BAY;TSHWANE
1;29-Dec-19;153;471;353;390;391;159;201;318
2;05-Jan-20;139;503;386;395;399;118;171;350
3;12-Jan-20;134;490;373;408;380;113;212;282
4;19-Jan-20;147;485;354;354;391;115;163;294
5;26-Jan-20;120;531;427;338;435;96;180;313
6;02-Feb-20;176;549;393;423;376;147;195;314
7;09-Feb-20;157;468;364;371;347;141;180;335
8;16-Feb-20;128;450;359;407;380;136;167;361
9;23-Feb-20;118;461;393;375;379;119;159;330
10;01-Mar-20;144;510;382;378;414;123;190;353
11;08-Mar-20;114;491;374;375;405;123;163;339
12;15-Mar-20;111;483;392;370;399;112;161;360
13;22-Mar-20;127;511;378;365;373;130;172;312
14;29-Mar-20;131;506;375;363;352;125;190;313
15;05-Apr-20;121;542;401;344;417;120;173;300
16;12-Apr-20;132;463;372;375;404;145;189;279
17;19-Apr-20;139;512;363;356;362;111;186;323
18;26-Apr-20;117;475;364;348;405;100;178;320
19;03-May-20;107;528;362;371;426;107;144;346
20;10-May-20;86;572;404;398;412;116;196;301
21;17-May-20;95;776;389;359;402;130;203;371
22;24-May-20;108;820;428;333;484;133;225;390
23;31-May-20;133;873;412;381;459;142;237;354
24;07-Jun-20;138;970;469;403;487;164;276;365
25;14-Jun-20;172;977;578;421;715;175;358;433
26;21-Jun-20;261;917;675;449;919;142;429;500
27;28-Jun-20;280;905;825;531;1 006;146;464;548
28;05-Jul-20;201;882;956;561;1 131;188;488;625
29;12-Jul-20;326;828;1 143;812;1 233;167;486;706
30;19-Jul-20;308;747;1 014;948;1 002;219;433;721
31;26-Jul-20;188;694;852;782;892;250;356;696
32;02-Aug-20;209;719;697;695;681;260;319;611
33;09-Aug-20;174;575;603;559;626;264;275;490
34;16-Aug-20;150;635;537;537;577;254;274;465
35;23-Aug-20;118;586;536;533;471;198;236;455
36;30-Aug-20;152;611;510;460;496;173;218;394
37;06-Sep-20;149;616;417;386;439;165;217;418
38;13-Sep-20;138;466;441;383;390;154;210;363
39;20-Sep-20;127;510;398;410;431;175;200;359
40;27-Sep-20;138;597;436;376;389;171;195;309
41;04-Oct-20;169;563;414;399;421;172;218;368
42;11-Oct-20;155;542;378;420;440;167;234;398
43;18-Oct-20;151;487;401;367;450;163;253;374
44;25-Oct-20;136;480;376;381;408;185;346;374
45;01-Nov-20;157;486;391;355;410;155;425;356
46;08-Nov-20;161;565;425;388;454;150;523;376
47;15-Nov-20;195;544;387;374;449;145;630;372
48;22-Nov-20;266;504;354;380;387;122;582;326
49;29-Nov-20;316;610;436;440;427;135;522;316
50;06-Dec-20;359;698;425;570;446;118;420;377
51;13-Dec-20;389;941;433;808;444;124;399;377
52;20-Dec-20;413;1 200;584;1 313;635;167;325;543
53;27-Dec-20;361;1 444;766;1 660;764;175;288;755
1;03-Jan-21;327;1 463;955;1 753;964;206;279;984
2;10-Jan-21;244;1 334;996;1 449;1 000;213;246;961
3;17-Jan-21;225;1 104;869;1 082;915;223;240;852
4;24-Jan-21;174;880;668;736;707;172;193;589
5;31-Jan-21;146;755;599;623;620;171;191;510
6;07-Feb-21;157;620;501;549;555;161;208;423
7;14-Feb-21;124;563;524;442;563;135;200;429
8;21-Feb-21;140;538;448;395;498;171;201;412
9;28-Feb-21;118;536;438;427;492;158;203;397
10;07-Mar-21;134;519;453;425;475;159;183;387
11;14-Mar-21;123;500;418;378;477;134;188;371
12;21-Mar-21;121;535;392;387;429;148;173;347
13;28-Mar-21;114;534;427;378;474;163;212;371
14;04-Apr-21;135;487;442;386;489;166;191;375
15;11-Apr-21;135;540;412;412;493;167;195;384
16;18-Apr-21;143;489;440;361;481;204;194;384
17;25-Apr-21;148;523;473;403;493;185;180;385
18;02-May-21;141;578;442;422;516;230;203;381
19;09-May-21;151;588;480;375;538;243;215;376
20;16-May-21;145;548;507;409;608;238;209;452
21;23-May-21;146;651;489;426;614;246;210;496
22;30-May-21;153;598;641;460;788;254;210;514
23;06-Jun-21;137;650;660;476;901;282;224;530
24;13-Jun-21;212;648;773;435;1 114;207;246;606
29 Dec 2019 - 19 Jun 2021;;13 183;49 957;39 105;39 266;42 420;12 738;19 828;33 247
ESTIMATED EXCESS NATURAL DEATHS;;;;;;;;;
3 May 2020 - 19 Jun 2021  ;;3 673;12 269;7 321;9 197;10 869;3 124;5 110;6 836
